temperature,r,C_r
2.26918531421347,0.0,0.9999402780159999
2.26918531421347,1.0,0.6534802780160001
2.26918531421347,2.0,0.5388662780160001
2.26918531421347,3.0,0.48181547801599994
2.26918531421347,4.0,0.44240161134933337
2.26918531421347,5.0,0.406324278016
2.26918531421347,6.0,0.37925938912711116
2.26918531421347,7.0,0.35743427801600003
2.26918531421347,8.0,0.3366597065874286
2.26918531421347,9.0,0.3186979923017143
2.26918531421347,10.0,0.303304983898353
2.26918531421347,11.0,0.28967627801600004
2.26918531421347,12.0,0.276667078016
2.26918531421347,13.0,0.26321297366817387
2.26918531421347,14.0,0.2515744598341818
2.26918531421347,15.0,0.24074927801600002
2.26918531421347,16.0,0.23034194468266667
2.26918531421347,17.0,0.2202180711194483
2.26918531421347,18.0,0.21061361134933335
2.26918531421347,19.0,0.20155467801600002
2.26918531421347,20.0,0.19313511672567746
2.26918531421347,21.0,0.18448405579377777
2.26918531421347,22.0,0.17699980742776475
2.26918531421347,23.0,0.16998393515885712
2.26918531421347,24.0,0.16251733064757895
2.26918531421347,25.0,0.15569494468266667
2.26918531421347,26.0,0.1483813689250909
2.26918531421347,27.0,0.14206183899160976
2.26918531421347,28.0,0.13634465896838094
2.26918531421347,29.0,0.13085094468266667
2.26918531421347,30.0,0.12583900142025534
2.26918531421347,31.0,0.12069443186215387
2.26918531421347,32.0,0.115532918016
2.26918531421347,33.0,0.11021735493907693
2.26918531421347,34.0,0.10488441836687719
2.26918531421347,35.0,0.09965166263138461
2.26918531421347,36.0,0.09470579525737932
2.26918531421347,37.0,0.08994757626161402
2.26918531421347,38.0,0.085067028016
2.26918531421347,39.0,0.08035524575793548
2.26918531421347,40.0,0.07604631191430508
2.26918531421347,41.0,0.07212792507482353
2.26918531421347,42.0,0.06750391437963636
2.26918531421347,43.0,0.06397083357155556
2.26918531421347,44.0,0.05966143743628985
2.26918531421347,45.0,0.05582063095717646
2.26918531421347,46.0,0.05174222396194594
2.26918531421347,47.0,0.04752800404339726
2.26918531421347,48.0,0.04388314981087179
2.26918531421347,49.0,0.039552383279157895
2.26918531421347,50.0,0.03567808753980952
2.26918531421347,51.0,0.03180259900365432
2.26918531421347,52.0,0.028213098528820507
2.26918531421347,53.0,0.025412929178790695
2.26918531421347,54.0,0.022348376781432096
2.26918531421347,55.0,0.019796448228765952
2.26918531421347,56.0,0.017360743132279064
2.26918531421347,57.0,0.015153700238222219
2.26918531421347,58.0,0.013084014279736258
2.26918531421347,59.0,0.011161147581217388
2.26918531421347,60.0,0.009324686179265301
2.26918531421347,61.0,0.007376566675793811
2.26918531421347,62.0,0.005837747403755096
2.26918531421347,63.0,0.004210918015999994
2.26918531421347,64.0,0.0025867934799175198
2.26918531421347,65.0,0.000814500238222215
2.26918531421347,66.0,-0.0008520419840000065
2.26918531421347,67.0,-0.002426589908528307
2.26918531421347,68.0,-0.003884996320283193
2.26918531421347,69.0,-0.005519183522461544
2.26918531421347,70.0,-0.007093436269714292
2.26918531421347,71.0,-0.008755497684934584
2.26918531421347,72.0,-0.010222121984000005
2.26918531421347,73.0,-0.011932825432275867
2.26918531421347,74.0,-0.013115239225379317
2.26918531421347,75.0,-0.014445806017613451
2.26918531421347,76.0,-0.01597925531733334
2.26918531421347,77.0,-0.016948302629161298
2.26918531421347,78.0,-0.018328024505008412
2.26918531421347,79.0,-0.01897888327432259
2.26918531421347,80.0,-0.020034983522461546
2.26918531421347,81.0,-0.020901705984000006
2.26918531421347,82.0,-0.020850408551164185
2.26918531421347,83.0,-0.0218973727776508
2.26918531421347,84.0,-0.021613692133253738
2.26918531421347,85.0,-0.022337794976700735
2.26918531421347,86.0,-0.022937251395764715
2.26918531421347,87.0,-0.022624765462260877
2.26918531421347,88.0,-0.023339721984000007
2.26918531421347,89.0,-0.022911188650666672
2.26918531421347,90.0,-0.02321717125936232
2.26918531421347,91.0,-0.02324361087288889
2.26918531421347,92.0,-0.022999528880551724
2.26918531421347,93.0,-0.023241256230575345
2.26918531421347,94.0,-0.02229261672084211
2.26918531421347,95.0,-0.02223500474262069
2.26918531421347,96.0,-0.022025481984000006
2.26918531421347,97.0,-0.022087165021974685
2.26918531421347,98.0,-0.022371090405052637
2.26918531421347,99.0,-0.021889088443627334
2.26918531421347,100.0,-0.021828879878736843
2.26918531421347,101.0,-0.0214588063213494
2.26918531421347,102.0,-0.021331771673440993
2.26918531421347,103.0,-0.021064696342974358
2.26918531421347,104.0,-0.02068686484114286
2.26918531421347,105.0,-0.020796119499527952
2.26918531421347,106.0,-0.020311492098942535
2.26918531421347,107.0,-0.02027805531733334
2.26918531421347,108.0,-0.02009466174303615
2.26918531421347,109.0,-0.02001546467405848
2.26918531421347,110.0,-0.02039530337934884
2.26918531421347,111.0,-0.019670166428444446
2.26918531421347,112.0,-0.019900224841142854
2.26918531421347,113.0,-0.01951828378175281
2.26918531421347,114.0,-0.019791937037763444
2.26918531421347,115.0,-0.01978207753955556
2.26918531421347,116.0,-0.01938678343651397
2.26918531421347,117.0,-0.01964559154921739
2.26918531421347,118.0,-0.019457466664851066
2.26918531421347,119.0,-0.019848166428444444
2.26918531421347,120.0,-0.019640828366978724
2.26918531421347,121.0,-0.019208026331826084
2.26918531421347,122.0,-0.019026063952911915
2.26918531421347,123.0,-0.018676188003417474
2.26918531421347,124.0,-0.018409977303148934
2.26918531421347,125.0,-0.01785061307310891
2.26918531421347,126.0,-0.017432970661248676
2.26918531421347,127.0,-0.017348231787921567
2.26918531421347,128.0,-0.016590828780116505
2.26918531421347,129.0,-0.01655698086724873
2.26918531421347,130.0,-0.016135760079238094
2.26918531421347,131.0,-0.01598898931073267
2.26918531421347,132.0,-0.015544981243259256
2.26918531421347,133.0,-0.014926641415279619
2.26918531421347,134.0,-0.014498881983999996
2.26918531421347,135.0,-0.013887721983999998
2.26918531421347,136.0,-0.013630088181183097
2.26918531421347,137.0,-0.013042510974825687
2.26918531421347,138.0,-0.012900055317333332
2.26918531421347,139.0,-0.01258411635019718
2.26918531421347,140.0,-0.01196087987873684
2.26918531421347,141.0,-0.0114243091399633
2.26918531421347,142.0,-0.010919614841142854
2.26918531421347,143.0,-0.010653215317333332
2.26918531421347,144.0,-0.010158739527859647
2.26918531421347,145.0,-0.009490012582290597
2.26918531421347,146.0,-0.009039951058889868
2.26918531421347,147.0,-0.008293932510315788
2.26918531421347,148.0,-0.007887822824336133
2.26918531421347,149.0,-0.0069824677467118625
2.26918531421347,150.0,-0.006317916076827002
2.26918531421347,151.0,-0.005696974157913041
2.26918531421347,152.0,-0.005073820344655735
2.26918531421347,153.0,-0.004386473038852317
2.26918531421347,154.0,-0.003963113983999997
2.26918531421347,155.0,-0.00362025531733333
2.26918531421347,156.0,-0.0028821154266229477
2.26918531421347,157.0,-0.0025549062977254858
2.26918531421347,158.0,-0.0021487886506666638
2.26918531421347,159.0,-0.0018809379839999976
2.26918531421347,160.0,-0.0016945267648764914
2.26918531421347,161.0,-0.0013081765294545413
2.26918531421347,162.0,-0.0013942532339999965
2.26918531421347,163.0,-0.0012677541125140526
2.26918531421347,164.0,-0.0013872296763076891
2.26918531421347,165.0,-0.0008537995033798424
2.26918531421347,166.0,-0.0007292034654814781
2.26918531421347,167.0,-0.0006648270423657559
2.26918531421347,168.0,-0.0006545657339999966
2.26918531421347,169.0,-0.00022004315188320903
2.26918531421347,170.0,-0.00020711231857248831
2.26918531421347,171.0,-0.0001399886506666639
2.26918531421347,172.0,-0.00016760168324811731
2.26918531421347,173.0,8.853700880575952e-05
2.26918531421347,174.0,0.00016497115679422694
2.26918531421347,175.0,6.7566904888893e-05
2.26918531421347,176.0,0.0002736305339856162
2.26918531421347,177.0,0.0005975178683985298
2.26918531421347,178.0,0.0011524724604444485
2.26918531421347,179.0,0.001541151255436625
2.26918531421347,180.0,0.0018222996766498237
2.26918531421347,181.0,0.0022833829111049003
2.26918531421347,182.0,0.0030896752762739773
2.26918531421347,183.0,0.003174019512598644
2.26918531421347,184.0,0.003370471564387102
2.26918531421347,185.0,0.003794195824219183
2.26918531421347,186.0,0.004027158016000003
2.26918531421347,187.0,0.003906039108150175
2.26918531421347,188.0,0.00395476450248649
2.26918531421347,189.0,0.0037846615776438394
2.26918531421347,190.0,0.0040376202978792
2.26918531421347,191.0,0.0038295809475960936
2.26918531421347,192.0,0.0033347542064761935
2.26918531421347,193.0,0.0035404831442051323
2.26918531421347,194.0,0.003202164303625422
2.26918531421347,195.0,0.0036808934006153896
2.26918531421347,196.0,0.003448842118564107
