temperature,r,C_r
2.26918531421347,0.0,0.5583068400000001
2.26918531421347,1.0,0.26510684000000007
2.26918531421347,2.0,0.17370684000000003
2.26918531421347,3.0,0.13222684
2.26918531421347,4.0,0.10230684000000001
2.26918531421347,5.0,0.07280684000000001
2.26918531421347,6.0,0.05288461777777778
2.26918531421347,7.0,0.037290173333333336
2.26918531421347,8.0,0.026206840000000002
2.26918531421347,9.0,0.01566398285714286
2.26918531421347,10.0,0.009083310588235298
2.26918531421347,11.0,0.00606934
2.26918531421347,12.0,0.0009068400000000001
2.26918531421347,13.0,-0.001701855652173913
2.26918531421347,14.0,-0.004011341818181821
2.26918531421347,15.0,-0.005009826666666669
2.26918531421347,16.0,-0.00505982666666667
2.26918531421347,17.0,-0.004217297931034487
2.26918531421347,18.0,-0.004446493333333337
2.26918531421347,19.0,-0.004513160000000003
2.26918531421347,20.0,-0.004596385806451616
2.26918531421347,21.0,-0.004848715555555559
2.26918531421347,22.0,-0.002475512941176471
2.26918531421347,23.0,-0.0006588742857142867
2.26918531421347,24.0,6.8399999999997795e-06
2.26918531421347,25.0,0.0007211257142857146
2.26918531421347,26.0,0.002388658181818182
2.26918531421347,27.0,0.0037263521951219516
2.26918531421347,28.0,0.0031592209523809514
2.26918531421347,29.0,0.0013818399999999996
2.26918531421347,30.0,-0.0013399685106382981
2.26918531421347,31.0,-0.0017393138461538457
2.26918531421347,32.0,-0.00319316
2.26918531421347,33.0,-0.0027970061538461527
2.26918531421347,34.0,-0.003282633684210525
2.26918531421347,35.0,-0.0035623907692307684
2.26918531421347,36.0,-0.003441435862068963
2.26918531421347,37.0,-0.005012458245614034
2.26918531421347,38.0,-0.00520566
2.26918531421347,39.0,-0.00590606322580645
2.26918531421347,40.0,-0.006618583728813559
2.26918531421347,41.0,-0.006384336470588237
2.26918531421347,42.0,-0.007629523636363637
2.26918531421347,43.0,-0.006584826666666668
2.26918531421347,44.0,-0.006788812173913045
2.26918531421347,45.0,-0.0047137482352941195
2.26918531421347,46.0,-0.004209376216216217
2.26918531421347,47.0,-0.004104118904109589
2.26918531421347,48.0,-0.0025829035897435896
2.26918531421347,49.0,-0.0027300021052631576
2.27918531421347,0.0,0.6959580400000001
2.27918531421347,1.0,0.34375804
2.27918531421347,2.0,0.23340803999999998
2.27918531421347,3.0,0.18679804
2.27918531421347,4.0,0.15785804
2.27918531421347,5.0,0.13285804
2.27918531421347,6.0,0.11220248444444447
2.27918531421347,7.0,0.09685804000000002
2.27918531421347,8.0,0.08215804
2.27918531421347,9.0,0.07132946857142859
2.27918531421347,10.0,0.0653815694117647
2.27918531421347,11.0,0.057158040000000014
2.27918531421347,12.0,0.05190804000000002
2.27918531421347,13.0,0.04391456173913045
2.27918531421347,14.0,0.03905804000000001
2.27918531421347,15.0,0.03306637333333334
2.27918531421347,16.0,0.02971637333333334
2.27918531421347,17.0,0.025695971034482765
2.27918531421347,18.0,0.02262470666666667
2.27918531421347,19.0,0.02008470666666667
2.27918531421347,20.0,0.016958040000000004
2.27918531421347,21.0,0.015096928888888896
2.27918531421347,22.0,0.01086980470588236
2.27918531421347,23.0,0.007529468571428578
2.27918531421347,24.0,0.004663303157894742
2.27918531421347,25.0,0.0029675638095238133
2.27918531421347,26.0,0.002039858181818186
2.27918531421347,27.0,8.974731707317237e-05
2.27918531421347,28.0,-0.0032657695238095226
2.27918531421347,29.0,-0.0038419600000000015
2.27918531421347,30.0,-0.004284513191489361
2.27918531421347,31.0,-0.004676575384615385
2.27918531421347,32.0,-0.00507396
2.27918531421347,33.0,-0.00363042153846154
2.27918531421347,34.0,-0.004312135438596492
2.27918531421347,35.0,-0.004565036923076924
2.27918531421347,36.0,-0.005448856551724139
2.27918531421347,37.0,-0.006252486315789473
2.27918531421347,38.0,-0.006879460000000001
2.27918531421347,39.0,-0.008290347096774193
2.27918531421347,40.0,-0.009075858305084747
2.27918531421347,41.0,-0.008200783529411766
2.27918531421347,42.0,-0.008184384242424245
2.27918531421347,43.0,-0.00849473777777778
2.27918531421347,44.0,-0.009885438260869569
2.27918531421347,45.0,-0.009471371764705886
2.27918531421347,46.0,-0.00838790594594595
2.27918531421347,47.0,-0.008203603835616443
2.27918531421347,48.0,-0.006631703589743592
2.27918531421347,49.0,-0.0068840652631579
2.31918531421347,0.0,0.9505382400000001
2.31918531421347,1.0,0.57983824
2.31918531421347,2.0,0.4526882400000001
2.31918531421347,3.0,0.39197824000000003
2.31918531421347,4.0,0.34730490666666675
2.31918531421347,5.0,0.30419824
2.31918531421347,6.0,0.2712049066666667
2.31918531421347,7.0,0.23938824
